,code
0,1520
1,1517
2,4806
3,1515
4,4694
5,4693
6,4692
7,1516
8,1514
9,4749
10,4748
11,1513
12,1512
13,4690
14,4689
15,1510
16,4804
17,4803
18,1511
19,1509
20,4746
21,4745
22,4744
23,1508
24,1507
25,4908
26,4788
27,1505
28,4742
29,4741
30,1504
31,4852
32,4851
33,1506
34,1503
35,4739
36,4738
37,1502
38,4729
39,4728
40,4727
41,1501
42,1500
43,4786
44,4785
45,1499
46,1498
47,4849
48,4848
49,4847
50,1497
51,1496
52,4783
53,4782
54,4781
55,1495
56,1494
57,4906
58,1493
59,4773
60,4772
61,1492
62,1491
63,4845
64,4844
65,1490
66,4768
67,1488
68,4842
69,4841
70,1489
71,1487
72,4766
73,4765
74,1485
75,4954
76,4952
77,4951
78,1486
79,1484
80,4839
81,4838
82,4837
83,1483
84,1482
85,4897
86,4822
87,1481
88,1480
89,5021
90,5020
91,5019
92,1479
93,1478
94,4820
95,4819
96,4818
97,1477
98,1476
99,4816
100,4815
101,1475
102,1474
103,4888
104,4887
105,1473
106,1472
107,4813
108,4812
109,4811
110,4810
111,1471
112,1470
113,4885
114,1468
115,4949
116,1467
117,4883
118,4882
119,4881
120,1469
121,1466
122,4879
123,4878
124,1465
125,1464
126,5067
127,5066
128,4998
129,1463
130,1462
131,4876
132,4875
133,4874
134,1461
135,1460
136,4933
137,4932
138,4931
139,1459
140,1458
141,4872
142,4871
143,4870
144,1457
145,1456
146,4862
147,4861
148,4860
149,1455
150,1454
151,5137
152,5136
153,5135
154,1453
155,1452
156,4929
157,4927
158,1451
159,1450
160,4996
161,4995
162,1449
163,4925
164,4923
165,4922
166,1448
167,1447
168,5064
169,1446
170,4920
171,1445
172,4917
173,1443
174,4993
175,4992
176,4991
177,1444
178,1442
179,4914
180,4913
181,1441
182,1440
183,4911
184,1439
185,4976
186,1438
187,5061
188,1436
189,4974
190,4973
191,4972
192,1437
193,1435
194,4970
195,1434
196,1433
197,5133
198,5132
199,5131
200,1432
201,1431
202,4967
203,4966
204,1430
205,1429
206,4963
207,4962
208,1428
209,1427
210,5059
211,5058
212,5057
213,1426
214,1425
215,4960
216,4959
217,1424
218,1423
219,5188
220,5187
221,5119
222,1422
223,1421
224,5055
225,5054
226,1420
227,1419
228,5051
229,1418
230,5308
231,5307
232,1416
233,5049
234,1415
235,5117
236,5103
237,5102
238,5041
239,1417
240,1414
241,5185
242,1412
243,5039
244,5038
245,5037
246,1413
247,1411
248,5088
249,5029
250,5028
251,1410
252,1409
253,5086
254,5084
255,1408
256,1407
257,5255
258,1406
259,1405
260,1404
261,5081
262,1402
263,5079
264,5078
265,1403
266,1401
267,5183
268,5182
269,1400
270,1398
271,5076
272,5075
273,5074
274,1397
275,1396
276,5180
277,5179
278,5178
279,1395
280,1394
281,5072
282,5071
283,1393
284,5305
285,5304
286,5303
287,1392
288,5176
289,5175
290,1390
291,1389
292,5253
293,5167
294,1388
295,1387
296,5165
297,5164
298,5163
299,1386
300,1385
301,5360
302,5358
303,5357
