ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"187.95.82.109","elite","AS262696","BR","Turbonet Telecomunicações","280","Turbonet Telecomunicações","3629","socks4","4001","1","2023-06-01T02:54:31.568Z","99","1969","1982"
"49.156.39.162","elite","AS24492","KH","WiCAM Corporation Ltd.","197","WiCAM Corporation Ltd.","5678","socks4","5101","80","2023-06-01T02:54:31.383Z","91","1706","1872"
"80.80.167.241","elite","AS21246","XK","IPKO Telecommunications LLC","45","N/A","10801","socks4","5503","1","2023-06-01T02:54:31.472Z","100","1983","1985"
"185.170.233.103","elite","AS206912","CY","Superdach LTD","64","Infra","47574","socks4","1911","1","2023-06-01T02:54:31.388Z","100","1980","1983"
"186.66.97.94","elite","AS14522","EC","Satnet","204","Satnet Uio Cable Modems","5678","socks4","3994","1","2023-06-01T02:54:31.571Z","100","1989","1992"
"149.20.253.77","elite","AS18615","US","Mainstream Fiber Networks, LLC","100","Mainstream Fiber Networks, LLC","12551","socks4","3815","1","2023-06-01T02:54:27.976Z","100","1906","1907"
"185.220.87.150","elite","AS205375","ES","Jose Antonio Ruiz Zamore","82","N/A","4153","socks4","4699","1","2023-06-01T02:54:27.888Z","99","1955","1980"
"181.66.37.210","elite","AS6147","PE","Telefonica del Peru S.A.A.","193","Telefonica del Peru S.A.A","4153","socks4","4890","2","2023-06-01T02:54:27.670Z","69","1339","1937"
"186.236.8.19","elite","AS28146","BR","Mhnet Telecom","283","Mhnet Telecom","4145","socks4","897","2","2023-06-01T02:54:27.974Z","96","1847","1926"
"103.58.75.24","elite","AS134204","BD","BUSINESSNETWORK","178","N/A","5678","socks4","1011","2","2023-06-01T02:54:22.474Z","72","1439","1986"
"110.34.166.182","elite","AS45652","SG","Krypt Technologies","294","Vpls Sin1","4153","socks4","4794","2","2023-06-01T02:54:21.477Z","100","1978","1984"
"159.192.139.42","elite","AS131090","TH","CAT-BB","290","N/A","5678","socks4","4604","1","2023-06-01T02:54:21.470Z","99","1954","1974"
"183.88.192.215","elite","AS45629","TH","Triple T Broadband Public Company Limited","178","Triple T Broadband Public Company Limited","8080","socks4","4515","84","2023-06-01T02:54:21.176Z","99","1911","1926"
"118.67.216.94","elite","AS58923","BD","InterCloud Limited","187","InterCloud ltd","4145","socks4","4608","1","2023-06-01T02:54:21.271Z","96","1892","1971"
"46.149.34.206","elite","AS51973","RU","Koltushsky Internet Ltd","62","Koltushsky Internet Ltd","3629","socks4","4898","2","2023-06-01T02:54:21.380Z","100","1983","1988"
"186.211.96.97","elite","AS53062","BR","Ggnet Telecom Backbone","285","Ggnet Telecom Backbone","5678","socks4","4609","1","2023-06-01T02:54:21.288Z","99","1897","1909"
"211.194.214.128","elite","AS4766","KR","Korea Telecom","298","KORNET","9050","socks4","4987","3","2023-06-01T02:54:21.480Z","100","1970","1971"
"172.98.169.213","elite","AS60558","NL","PHOENIX NAP, LLC.","87","BraveWay LLC","45395","socks4","1286","1","2023-06-01T02:54:21.377Z","100","1885","1885"
"104.36.7.57","elite","AS55077","US","Light Speed Technologies LLC","186","Light Speed Technologies LLC","1337","socks4","3794","1","2023-06-01T02:54:17.186Z","100","1990","1990"
"206.189.149.96","elite","AS14061","SG","DigitalOcean, LLC","151","DigitalOcean, LLC","1080","socks5","5000","1","2023-06-01T02:54:17.377Z","91","1746","1929"
"202.159.121.209","elite","AS9340","ID","PT IndoInternet","187","N/A","443","socks4","4892","85","2023-06-01T02:54:17.669Z","100","1880","1882"
"198.251.89.198","elite","AS53667","LU","FranTech Solutions","25","FranTech Solutions","51675","socks5","4902","2","2023-06-01T02:54:17.672Z","100","1872","1874"
"190.119.235.210","elite","AS12252","PE","America Movil Peru S.A.C.","174","America Movil Peru S.A.C","4153","socks4","4999","3","2023-06-01T02:54:17.271Z","87","1674","1928"
"115.127.75.27","elite","AS24342","BD","BRACNet Limited","204","bracNet","7777","socks4","4906","81","2023-06-01T02:54:17.375Z","97","1937","1988"
"183.89.116.141","elite","AS45629","TH","Triple T Broadband Public Company Limited","191","Triple T Broadband Public Company Limited","4145","socks4","5108","1","2023-06-01T02:54:17.283Z","86","1669","1950"
"95.182.78.3","elite","AS50648","UA","PE UAinet","53","PE UAinet","5678","socks4","4990","2","2023-06-01T02:54:12.771Z","99","1949","1971"
"45.7.177.234","elite","AS266626","BR","Litoral Telecom","181","Litoral Telecom","39867","socks4","5106","2","2023-06-01T02:54:12.676Z","99","1973","1992"
"37.186.5.16","elite","AS8540","AT","AMA netwoRX GmbH","32","KELAG-Karntner Elektrizitats - Aktiengesellschaft","5678","socks4","4697","2","2023-06-01T02:54:12.687Z","100","1985","1991"
"202.159.107.137","elite","AS9340","ID","PT IndoInternet","171","N/A","443","socks4","4608","1","2023-06-01T02:54:12.885Z","100","1911","1914"
"103.66.233.225","elite","AS134014","IN","NET 4 U SERVICES","198","N/A","4145","socks4","5093","2","2023-06-01T02:54:12.685Z","100","1978","1983"
"8.39.228.33","elite","AS3356","US","Level 3 Communications, Inc.","119","Level 3, LLC","39593","socks4","5198","1","2023-06-01T02:54:08.383Z","100","1986","1987"
"69.163.160.191","elite","AS26347","US","New Dream Network, LLC","188","New Dream Network, LLC","41610","socks5","5103","3","2023-06-01T02:54:08.481Z","100","1927","1927"
"80.191.169.81","elite","AS58224","IR","Information Technology Company","200","Azad University of Anar","4145","socks4","5198","2","2023-06-01T02:54:08.569Z","89","1765","1989"
"24.234.142.122","elite","AS22773","US","Cox Communications Inc.","180","Cox Communications Inc","31008","socks4","4704","2","2023-06-01T02:54:08.574Z","94","1880","1993"
"75.119.205.127","elite","AS26347","US","New Dream Network, LLC","152","New Dream Network, LLC","32238","socks4","5098","3","2023-06-01T02:54:08.487Z","100","1976","1976"
"181.114.232.59","elite","AS265714","CL","TV CABLE DEL SUR LTDA","296","TV CABLE DEL SUR EIRL","31337","socks4","4797","1","2023-06-01T02:54:08.774Z","99","1975","1985"
"202.93.229.2","elite","AS38758","ID","PT. HIPERNET INDODATA","196","Hypernet","8080","socks4","3593","1","2023-06-01T02:54:04.873Z","46","887","1935"
"103.86.198.218","elite","AS18109","BD","Nasrin Sultana t/a Maisha","197","Maisha","4153","socks4","4588","1","2023-06-01T02:54:04.478Z","99","1961","1990"
"66.42.52.194","elite","AS20473","SG","Choopa","156","N/A","49163","socks4","1988","2","2023-06-01T02:54:04.482Z","99","1930","1947"
"170.254.255.225","elite","AS52584","BR","Connect Fibra","226","Connect Fibra","45816","socks4","5006","2","2023-06-01T02:54:04.375Z","98","1893","1936"
"104.16.226.6","elite","AS13335","CA","American Registry Internet Numbers","3","American Registry Internet Numbers","80","socks4","5074","2","2023-06-01T02:54:04.578Z","100","1980","1981"
"103.209.230.193","elite","AS135115","BD","WIMS1","181","N/A","4153","socks4","4604","1","2023-06-01T02:54:04.580Z","99","1963","1985"
"178.253.200.209","elite","AS9125","RS","Orion Telekom ISP IP Network","37","N/A","1080","socks4","4593","2","2023-06-01T02:54:04.575Z","100","1970","1975"
"75.176.225.10","elite","AS11426","US","Spectrum","183","Road Runner","33150","socks4","4092","2","2023-06-01T02:54:04.572Z","96","1909","1986"
"82.97.201.52","elite","AS29076","RU","Citytelecom LLC","56","Citytelecom LLC","5678","socks4","5197","1","2023-06-01T02:54:00.668Z","99","1964","1988"
"102.64.116.97","elite","AS328500","CG","A.M.C Telecom","200","A.M.C Telecom","4145","socks4","5193","1","2023-06-01T02:54:00.381Z","98","1945","1991"
"37.44.238.2","elite","AS34534","FR","HARMONYHOSTING","83","N/A","54140","socks5","4302","4","2023-06-01T02:54:00.676Z","99","1901","1916"
"200.70.19.92","elite","AS10834","AR","Telefonica de Argentina","249","Telefonica de Argentina","4153","socks4","4787","6","2023-06-01T02:54:00.673Z","96","1896","1971"
"94.45.152.86","elite","AS210421","UA","Kievline LLC","49","LUX LITE LLC","48256","socks4","4594","2","2023-06-01T02:54:00.370Z","93","1766","1907"
"103.240.33.177","elite","AS132923","IN","Vihaan Telecommunication Pvt. Ltd.","193","Vihaan","8291","socks4","2292","1","2023-06-01T02:54:00.280Z","99","1965","1987"
"31.209.96.173","elite","AS44558","CY","Multimax Iletisim Limited","66","N/A","51688","socks4","4790","1","2023-06-01T02:54:00.286Z","100","1985","1989"
"200.70.19.94","elite","AS10834","AR","Telefonica de Argentina","236","Telefonica de Argentina","4153","socks4","3391","2","2023-06-01T02:54:00.378Z","98","1950","1989"
