機構名稱,機構代碼,執行長,聯絡人,電話,傳真,網址,電子郵件,地址,創辦人,成立日期,許可機關,機構屬性,成立主旨,工作重點,服務區域,服務性別,服務年齡,服務項目
高雄市私立星援居家長照機構,7753,張簡綉織,孫幸秀,0955506974,0,無,star0955506974@gmail.com,833高雄市鳥松區華美路128號4樓,張簡綉織,2023/01/06,高雄市政府衛生局,綜合性服務,致力於主要協助身障兒家庭之服務，亦有失能者之照顧服務，秉持社會服務及友愛互助的精神，希望以愉悅、有溫度、傳遞幸福的工作氛圍為目標，期許與整體工作團隊創造共榮、共好、共享的企業文化。,居家長期照顧服務，例如,高雄市,不限,不限(~),"個案管理,在宅服務,喘息服務"
社團法人中華民國帕查媽媽環境永續創生發展協會,7752,郭岱宜,黃偉綸,07-7477466,07-7471851,pachamamaesg.org,pachamamatw2022@gmail.com,830高雄市鳳山區中山東路86-2號5樓,王倩雯,2022/08/02,內政部,環境保護,本會為依法設立、非以營利為目的之公益性社會團體，以推廣大自然共生與環境友善於日常生活中的實踐，更帶動家庭與社區，個人及團體，和諧成長及參與共享的交流學園為成立宗旨。,綠建築推廣循環永續、環境友善，並建立服務交流平台，促進社會多元發展。同時強調大自然共生於日常生活的觀念和實踐，發展社會教育培訓系統，吸引大眾參與。此外，也重視心靈成長和自我肯定的教育，以及建立身心療癒的環境。家庭和諧、正面生活教育理念也受到重視，並鼓勵民眾終身學習，提供教育與培訓服務。同時，珍惜大地資源，與政府機關、企業團體合作，連結社會資源，提昇台灣國際地位。最後，根據社會需求，籌劃舉辦各項教育、文化、公益及創新活動。,全國性,不限,不限(~),"心理輔導,個案輔導,個案管理,心理治療,遊戲治療,團體輔導,家族治療,親職教育,休閒娛樂,營隊活動,聯誼活動,復建服務,輔助器具,物理治療,職能治療,語言治療,生涯規劃,職能評估,職業訓練,職訓補助,就業資訊,就業輔導,特殊教育,教學研究,社工實習,志願服務,聯合勸募,法律諮詢,營養諮詢,社區服務,社教宣導,專業訓練,社福資訊,權益倡導,政策分析,國際交流,其他"
社團法人臺灣原住民族長期照顧服務權益促進會,7751,方喜恩,宋聖君,0938056536,039517450,無,yunawsili@gmail.com,267宜蘭縣大同鄉寒溪村寒溪巷6-1號,方惠恩,2018/11/16,內政部,老人福利,本會為依法設立、非以營利為目的之社會團體，以結合長期照顧工作者、培力與輔導部落在地組織、政策倡議、教育訓練及其他促進原住民族長期照顧發展事宜為宗旨。,與各地草根組織及工作者連結爭取原住民族健康、長照、照顧、社會福利等權利保障以及原住民權益的公平正義,全國性,不限,不限(~),"法律諮詢,社福資訊,權益倡導,政策分析,國際交流"
財團法人佛教蓮花基金會,7750,陳惠文,陳惠文,(02)2596-1212,(02)2593-3535,無,lotus@lotus.org.tw,103台北市大同區承德路三段230號4樓,陳榮基,1994/08/30,行政院衛生署,綜合性服務,有鑑於末期病人在醫院得不到適切照顧，嚴重影響善終品質抱憾而終，以致生死兩不安；一群學佛的醫事人員、教界法師、學者及志工朋友，為喚起各界對重症末期病人的支持與關懷，乃於1994年成立了「蓮花基金會」（原佛教蓮花臨終關懷基金會，2007年更名為佛教蓮花基金會），期盼推動人性化的醫療服務，用愛與尊重來幫助末期病人及家屬，無憾且泰然走過生死大關。,以推廣全人照顧及生命教育為宗旨，協助末期病人及家屬獲得更人性化之醫療及身心靈照顧服務，讓生死兩無憾。－宗教上的精神建設－彰顯人倫孝道－減輕患者家屬的哀傷－建立臨終關懷的典範推動生命終極關懷「長照安寧社區照護」、推廣關懷友善社區「生命教育」，與大眾一同探討認識生命的全貌，致力於塑造以終為始的善終社會文化。積極培訓「臨床宗教師」、「安寧志工」與「關懷志工」。,"全國性,全球性",不限,不限(~),"志願服務,專業訓練,權益倡導"
社團法人宜蘭縣渡安居女性關懷協會,7749,李貞遉,李瑋婷,03-9332073,03-9332073,無,cd90314@gmail.com,260宜蘭縣宜蘭市安置處所不便公開,賴慶祥,2012/12/12,宜蘭縣政府,綜合性服務,為協助違反毒品危害防制條例施用毒品之女性更生人或經收容女性之人，並施予適當之照顧及心理輔導，以獲得身心、人格之健全發展，復歸家庭社會生活，維護社會安全。,（一） 針對離開醫院、矯正機關或無家可歸之成年女性藥癮個案，提供24小時專人管理之安置處所，減少其與外界藥癮者接觸機會，並透過結構性作息安排、系統性復健處遇方案設計等措施，使個案得以安定身心、改變生活型態及習得一技之長，為能融入一般社會及獨立生活做準備。（二） 經由團體生活自然發生或有計畫地安排互動情境，促進個案間相互支持，重新建構個人自我概念、發展社交技巧、學習自我控制，並成功類化至外在社會互動情境，以達社會適應。（三） 運用社會工作、心理輔導專業，與過來人陪伴，促使個案改變對藥癮的認知、態度及行為，並具備壓力調適與因應能力，降低復發風險。（四） 以個案為中心，依其藥癮復原之需求，整合或連結網絡資源，提供所需之各項協助，以增進其生理、心理及社會功能、加強人際支持，促使維持復元(recovery)的生活。,全國性,女性,限(18~64),"中途之家,戒毒戒癮"
中華民國美學追求希望協會,7748,李秋菊,李秋菊,(02)28829730,(02)28829730,無,angel_182456@yahoo.com.tw,111台北市士林區文林路436號2樓,李秋菊,2020/04/22,內政部,綜合性服務,本會為依法設立、非以營利為目的之社會團體，以幫助弱勢及有志於追求美學之男女創造多元就業機會，及建構理想專業之長期照顧服務之產業體系，培訓相關課程為宗旨。,技職教育/臨店教育/專業養成輔導培訓/專業髮品商品配合,"台北市,全國性",不限,不限(~),"生涯規劃,職業訓練,教學研究,社區服務,專業訓練,權益倡導,其他"
社團法人台灣護家協會,7747,林志忠,林志忠,06-2360936,06-2386952,https://www.donatefc.com,idfamily.tn@gmail.com,701台南市東區東門路一段358號6樓之3,林志忠,2014/03/03,內政部,家庭福利,本著「為了更高的愛而活」之理念，致力於服務兒童、家庭、社會，進而為國家、世界的和諧而服務。,本會從事家庭教育服務工作，透過資源的連結，提升服務對象家庭生活的知能，陪伴高齡長者、父母，在社區辦長者樂齡活動；培育孩子學習及成長，舉辦兒童線上伴學、兒童人際成長團體、孝情戲劇團體等活動，促進兒少成長、青年培育、夫婦和合、長者樂齡、家庭幸福。,全國性,不限,不限(~),"營隊活動,志願服務,社區服務,其他"
社團法人臺灣喬康家庭關懷協會,7746,高超群,郭瓊媛,037-356760,037-371088,www.accfct.org.tw,chocon.assn@msa.hinet.net,360苗栗縣苗栗市中正路1351號,黃台興,2022/02/20,內政部,綜合性服務,以家庭關懷出發，結合社會資源辦理與家庭成員照顧相關之服務及規畫執行適宜之教育訓練活動，以促進家庭和諧、提升家庭生活品質、穩定社會安定為宗旨。,一、推廣長照服務,全國性,不限,不限(~),"課後照顧,兒童保護,休閒娛樂,婦女救援,急難救助,醫療補助,生活扶助,獎助學金,喪葬補助,社工實習,志願服務,法律諮詢,社區服務,社福資訊,權益倡導"
社團法人中華心起點協會,7745,葉秋秀,黃秋文,02-27136761,02-27136761,https://easnewstart.com/,easnewstart@gmail.com,105台北市松山區民生東路四段80巷6弄9號 ,蕭慶華,2022/11/01,衛生福利部,綜合性服務,本會依法設立、非以營利為目的之公益性社會團體，以推動地方創生、專業照顧、關懷老、弱、婦、孺。結合醫療、教育及社會資源，拓展社區照顧網絡，提昇長期照顧品質，弱勢族群以及受照顧者的全方位支援與關懷服務，以期幼有所長、壯有所用、老有所依為宗旨。,中華心起點是一個關懷弱勢兒童少年及其家庭的國際性非營利組織， 結合醫療、教育及社會資源， 培育社區師資、運用智慧科技與適性導引， 設計開發學習教材教案， 除了輔助老師發展適性教學，數位科技工具，讓老師更容易地建構課程資源，突破時空打造出讓師生同儕互動的空間，緊密師生連結， 經營班級，中華心起點協會運用社會資源與各界跨域合作，多元活動使孩子維持身心靈健康、外籍老師英語線上教學，透過遠距結合多點教學場域，拓展學生視野，形塑學習新典範。建置遠距數位教育推動與交流平台，提升老師多元輔導能力讓弱勢兒少享有家庭妥善的照顧、身心安全的保護、健康成長的環境、充分受教育的機會，快樂不間斷學習的生活。,全國性,不限,不限(6歲~99歲),"個案輔導,團體輔導,親職教育,兒童托育,日間照顧,課後照顧,暫托服務,營隊活動,聯誼活動,家庭輔導,生涯規劃,職能評估,職訓補助,特殊教育,教學研究,社工實習,學校社工,志願服務,聯合勸募,社區服務,專業訓練,社福資訊,其他"
社團法人這裡共好協會,7744,黃慧娟,黃小姐,02-22768556,02-22768556,無,heregungho@gmail.com,242新北市新莊區長青街17號2樓之2,王風博,2020/05/30,內政部,綜合性服務,本會為依法設立、非以營利為目的之社會團體，以促進整體社會福祉關懷全人健康，建構社區共生照顧網絡，營造各族群共好生活的社會為宗旨。,1.中高齡婦女、家庭照顧者以及家人終老準備服務暨意識增能 2.性別平等宣導教育及婦女團體幹部培力 3.數位性別暴力防治宣導及倡議 4.新北市行動銀髮俱樂部服務 5.婦女暨高齡長者資訊力提升,全國性,不限,不限(~),"休閒娛樂,生涯規劃,教學研究,社區服務,社教宣導,專業訓練,權益倡導,政策分析"
